,question,sql
1766,How many enrollment figures are provided for Roosevelt High School?,SELECT COUNT Enrollment FROM table WHERE High School = Roosevelt
1767,Name the most game for record 4-0,SELECT MAX Game FROM table WHERE Record = 4-0
1768,What is the lowest series episode with a production code of 406?,SELECT MIN Series episode FROM table WHERE Prod. code = 406
1769,How many people had the high rebound total when the team was 19-13?,SELECT COUNT High rebounds FROM table WHERE Record = 19-13
1770,"What is the production code of the episode titled ""Lenny""?","SELECT MAX Prod. code FROM table WHERE Title = ""Lenny"""
1771,What is the lowest numbered division Cleveland played in? ,SELECT MIN Division FROM table
1772,How many players scored the most points when the opposing team was New Orleans/Oklahoma City?,SELECT COUNT High points FROM table WHERE Team = New Orleans/Oklahoma City
1773,What is the population maximum?,SELECT MAX Population FROM table
1774,How much does the Independencia weight?,SELECT MIN tons ( L.ton ) FROM table WHERE Warship = Independencia
1775,How many players scored the most points on game 4?,SELECT COUNT High points FROM table WHERE Game = 4
1776,Name the most share for 2.76 million viewers ,SELECT MAX Share FROM table WHERE Viewers (millions) = 2.76
1777,Name the least division,SELECT MIN Division FROM table
1778, how many local title with televbeingion network being tv nova website,SELECT COUNT Local title FROM table WHERE Television network = TV Nova Website
1779,Name the max total for aiden mcgeady,SELECT MAX Total FROM table WHERE Player = Aiden McGeady
1780,How many towns exist on the government area with a surface of 110 square kilometers?,SELECT MIN Towns FROM table WHERE Land Area (km²) = 110
1781, how many chroma format with name being high profile,SELECT COUNT Chroma Format FROM table WHERE Name = High profile
1782,"Of the players who scored 5 three pointers, what is the highest number of games played?",SELECT MAX Games Played FROM table WHERE Three Pointers = 5
1783,What is the smallest amount of WSOP bracelets anyone had?,SELECT MIN WSOP bracelets FROM table
1784, how many song title with artbeingt being chubby checker,SELECT COUNT Song title FROM table WHERE Artist = Chubby Checker
1785,Name the most rebounds for larry smith,SELECT MAX Rebounds FROM table WHERE Player = Larry Smith
1786,What is the baseline extended and main profiles when level is 1.3?,"SELECT MIN Baseline, Extended and Main Profiles FROM table WHERE Level = 1.3"
1787,How many different total number of transit passengers are there in London Luton?,SELECT COUNT Transit Passengers FROM table WHERE Airport = London Luton
1788,What is the most number of blocks kendall gill had?,SELECT MAX Blocks FROM table WHERE Player = Kendall Gill
1789,What is the production number for episode 23?,SELECT MIN Prod # FROM table WHERE Episode # = 23
1790, how many airport with rank being 4,SELECT COUNT Airport FROM table WHERE Rank = 4
1791,What was the highest amount of episodes for the season with 5.74 million viewers?,SELECT MAX Episodes FROM table WHERE Viewers (in millions) = 5.74
1792,What number episode had a rating of 4.7?,SELECT MIN No. FROM table WHERE Rating = 4.7
1793, how many mens singles with mens doubles being pontus jantti lasse lindelöf,SELECT COUNT Mens singles FROM table WHERE Mens doubles = Pontus Jantti Lasse Lindelöf
1794,"What was the season number that had a premiere on December 11, 2010?","SELECT MAX Season FROM table WHERE Season Premiere = December 11, 2010"
1795,"What was the share for the ""Lisa Kudrow"" episode? ","SELECT MIN Share FROM table WHERE Episode = ""Lisa Kudrow"""
1796,How much audience did the 7th Pride of Britain Awards ceremony have?,SELECT COUNT Viewers (millions) FROM table WHERE Episode = 7th Pride of Britain Awards
1797,What is the last year that Andre Agassi was the final opponent?,SELECT MAX Year FROM table WHERE Opponent in the final = Andre Agassi
1798,What number episode had a 4.2 rating? ,SELECT MIN No. FROM table WHERE Rating = 4.2
1799,How many classes between senior and junior year for world history,SELECT COUNT SENIOR (4th Year) FROM table WHERE JUNIOR (3rd Year) = World History
1800,What is the latest year that data is available for?,SELECT MAX Year FROM table
1801,What was the rank of operator whose technology is CDMA EVDO?,SELECT MIN Rank FROM table WHERE Technology = CDMA EVDO
1802, how many original airdate with writer(s) being becky hartman edwards and director being adam nimoy,SELECT COUNT Original airdate FROM table WHERE Writer(s) = Becky Hartman Edwards AND Director = Adam Nimoy
1803,How many atp wins did he have when his money list rank was 4? ,SELECT MAX ATP wins FROM table WHERE Money list rank = 4
1804,What was the production code for the episode directed by Michael Morris?,SELECT MIN Production code FROM table WHERE Directed by = Michael Morris
1805, how many height m ( ft ) with frequency mhz being 100.1,SELECT COUNT Height m ( ft ) FROM table WHERE Frequency MHz = 100.1
1806,What is the maximum total wins he had for any year? ,SELECT MAX Total wins FROM table
1807,"How many people saw the 3rd, Central regular season on average?","SELECT MIN Avg. Attendance FROM table WHERE Regular Season = 3rd, Central"
1808, how many height m ( ft ) with notes being via wccv; formerly w236aj,SELECT COUNT Height m ( ft ) FROM table WHERE Notes = via WCCV; formerly W236AJ
1809,"What is the most recent year where the final score is 4–6, 3–6, 6–4, 5–7?","SELECT MAX Year FROM table WHERE Score in the final = 4–6, 3–6, 6–4, 5–7"
1810,When was the average attendance 789?,SELECT MIN Year FROM table WHERE Avg. Attendance = 789
1811, how many highest with team being forfar athletic,SELECT COUNT Highest FROM table WHERE Team = Forfar Athletic
1812,What is the possible maximum money list rank?,SELECT MAX Money list rank FROM table
1813,How big is the province with the Armenian name of փայտակարան?,SELECT MIN Area (km²) FROM table WHERE Armenian name = Փայտակարան
1814,How many of the elected officials are on the Economic Matters committee?,SELECT COUNT First Elected FROM table WHERE Committee = Economic Matters
1815,Name the most population 2002,SELECT MAX Population (2002 census data) FROM table
1816,What is the production code for episode 31 in the series?,SELECT MIN Prod. code FROM table WHERE Series # = 31
1817,What was the number of rounds on the Hidden Valley Raceway?,SELECT COUNT Rd. FROM table WHERE Circuit = Hidden Valley Raceway
1818,What is the highest number of terps points in games where the opponent made 53 points?,SELECT MAX Terps Points FROM table WHERE Opp. Points = 53
1819,How many were the minimum team that participated in the league?,SELECT MIN Teams FROM table
1820,"How many counties have an area of 1,205.4 km2?","SELECT COUNT Code FROM table WHERE Area (km 2 ) = 1,205.4"
1821,What is the most assists for points 129-3.9?,SELECT MAX Assists FROM table WHERE Points = 129-3.9
1822,What is the smallest 08-09 GP/JGP 2nd value when WS points equals 3197?,SELECT MIN 08-09 GP/JGP 2nd FROM table WHERE WS Points = 3197
1823, how many capital with population census 2009 being 284657,SELECT COUNT Capital FROM table WHERE Population Census 2009 = 284657
1824,Name the max irish points for eastern michigan,SELECT MAX Irish Points FROM table WHERE Opponent = Eastern Michigan
1825,What is the smallest 07-08 oi best value?,SELECT MIN 07-08 OI best FROM table
1826,How many stations own Bounce TV?,SELECT COUNT Station Ownership FROM table WHERE Network = Bounce TV
1827,What is the highest game number where the team was Cleveland? ,SELECT MAX Game FROM table WHERE Team = Cleveland
1828,What is the least 08-09 gp/jgp 2nd was when the 07-08 gp/jgp best is 223?,SELECT MIN 08-09 GP/JGP 2nd FROM table WHERE 07-08 GP/JGP best = 223
1829, how many tries against with lost being 11,SELECT COUNT Tries against FROM table WHERE Lost = 11
1830,What is the highest numbered nightly rank for any episode? ,SELECT MAX Nightly rank FROM table
1831,What is the least 08-09 i/o best?,SELECT MIN 08-09 I/O best FROM table
1832, how many points for with points against being 177,SELECT COUNT Points for FROM table WHERE Points against = 177
1833,"What episode number in the series originally aired on April 27, 1999?","SELECT MAX No. in series FROM table WHERE Original air date = April 27, 1999"
1834,What is the lowest number of carriers?,SELECT MIN Number of carriers FROM table
1835,tell how many wins there was when the score was 490,SELECT COUNT Won FROM table WHERE Points for = 490
1836,How many product # have episode 1?,SELECT MAX Prod # FROM table WHERE Episode # = 1
1837,What episode was watched by 10.81 million US viewers?,SELECT MIN No. by season FROM table WHERE U.S. viewers (in millions) = 10.81
1838, how many voice actor (englbeingh 1998 / pioneer) with voice actor (japanese) being shinobu satouchi,SELECT COUNT Voice Actor (English 1998 / Pioneer) FROM table WHERE Voice Actor (Japanese) = Shinobu Satouchi
1839,What is the maximum number in the series for the episode directed by Harvey S. Laidman?,SELECT MAX No. in series FROM table WHERE Directed by = Harvey S. Laidman
1840,Name the least finish for larry dickson,SELECT MIN Finish FROM table WHERE Driver = Larry Dickson
1841,how many big wins does peru state college have,SELECT COUNT National Titles FROM table WHERE School = Peru State College
1842,How many # were written by david hoselton?,SELECT MAX # FROM table WHERE Written by = David Hoselton
1843,What is the minimum capacity for Sangre Grande Ground?,SELECT MIN Capacity FROM table WHERE Stadium = Sangre Grande Ground
1844," how many primary payload(s) with shuttle being columbia and duration being 13 days, 19 hours, 30 minutes, 4 seconds","SELECT COUNT Primary Payload(s) FROM table WHERE Shuttle = Columbia AND Duration = 13 days, 19 hours, 30 minutes, 4 seconds"
1845,How many points did the opponents score on the game where Sooners' record was 16-5?,SELECT MAX Opp. Points FROM table WHERE Record = 16-5
1846,What is stumped when matches is 14?,SELECT MIN Stumped FROM table WHERE Matches = 14
1847, how many class with poles being bigger than 1.0,SELECT COUNT Class FROM table WHERE Poles > 1.0
1848,Name the most copa del rey for karim benzema,SELECT MAX Copa del Rey FROM table WHERE Player = Karim Benzema
1849,"What was the earliest year where USL PDL played in 3rd, Southeast season?","SELECT MIN Year FROM table WHERE Regular Season = 3rd, Southeast AND League = USL PDL"
1850, how many mean elevation with lowest point being gulf of mexico and state being texas,SELECT COUNT Mean elevation FROM table WHERE Lowest point = Gulf of Mexico AND State = Texas
1851,"If the total is 6, what is the maximum R?",SELECT MAX R FROM table WHERE Total = 6
1852,"What series number had an original airdate of March 1, 1991?","SELECT MIN No. in series FROM table WHERE Original air date = March 1, 1991"
1853,How many family friendly games are in the 1990s?,SELECT COUNT Family Friendly FROM table WHERE Decade = 1990s
1854,What is the maximum possible Copa Del Rey?,SELECT MAX Copa del Rey FROM table
1855,What is the production code for episode number 86 in the series?,SELECT MIN Production code FROM table WHERE No. in series = 86
1856,When altos hornos zapla is the  home (1st leg) what is overall amount of 1st leg?,SELECT COUNT 1st Leg FROM table WHERE Home (1st leg) = Altos Hornos Zapla
1857,"If the winner is Bernhard Eisel, what is the stage maximum?",SELECT MAX Stage FROM table WHERE Winner = Bernhard Eisel
1858,"What episode number in the series is ""dance to the music""?","SELECT MIN No. in series FROM table WHERE Title = ""Dance to the Music"""
